bus_id,P_load,Q_load,critical_flag,dg_capacity,bess_capacity,bess_initial_soc
1,0,0,0,0,0,0.0
2,100,60,0,0,0,0.0
3,90,40,0,0,0,0.0
4,120,80,0,0,0,0.0
5,60,30,0,0,0,0.0
6,60,20,0,0,0,0.0
7,200,100,0,0,0,0.0
8,200,100,0,150,200,0.6
9,60,20,0,0,0,0.0
10,60,20,0,0,0,0.0
11,45,30,0,0,0,0.0
12,60,35,0,0,0,0.0
13,60,35,0,0,0,0.0
14,120,80,1,0,0,0.0
15,60,10,0,0,0,0.0
16,60,20,0,0,0,0.0
17,60,20,1,0,0,0.0
18,90,40,0,150,200,0.6
19,90,40,0,0,0,0.0
20,90,40,0,0,0,0.0
21,90,40,0,0,0,0.0
22,90,40,0,120,200,0.6
23,90,50,0,0,0,0.0
24,420,200,0,0,0,0.0
25,420,200,0,0,0,0.0
26,60,25,0,120,200,0.6
27,60,25,0,0,0,0.0
28,60,20,0,0,0,0.0
29,120,70,0,0,0,0.0
30,200,600,0,0,0,0.0
31,150,70,0,0,0,0.0
32,210,100,0,0,0,0.0
33,60,40,0,150,200,0.6
